filename,seed,steps,model
recruitment_quartermaster.png,1004,9,Z-Image-Turbo
recruitment_deckhands.png,1005,9,Z-Image-Turbo
recruitment_navigator.png,1007,9,Z-Image-Turbo
talisman_golden_monkey.png,1013,9,Z-Image-Turbo
talisman_officer_counter_boarding.png,1015,9,Z-Image-Turbo
talisman_sail_counter_boarding.png,1016,9,Z-Image-Turbo
talisman_sailor_counter_boarding.png,1017,9,Z-Image-Turbo
raid_officers.png,1056,9,Z-Image-Turbo
raid_sails.png,1057,9,Z-Image-Turbo
map_treasure_01.png,1058,9,Z-Image-Turbo
map_treasure_02.png,1059,9,Z-Image-Turbo
curse_ghost_ship.png,1060,9,Z-Image-Turbo
