filename,seed,steps,model
recruitment_captain.png,1334,9,Z-Image-Turbo
recruitment_deckhands.png,1335,9,Z-Image-Turbo
raid_sails.png,1336,9,Z-Image-Turbo
raid_officers.png,1337,9,Z-Image-Turbo
raid_sailors.png,1338,9,Z-Image-Turbo
map_treasure_01.png,1340,9,Z-Image-Turbo
map_treasure_02.png,1341,9,Z-Image-Turbo
curse_foggy_island.png,1339,9,Z-Image-Turbo
talisman_spyglass.png,1344,9,Z-Image-Turbo
talisman_trapped_chest.png,1345,9,Z-Image-Turbo
talisman_golden_monkey.png,1346,9,Z-Image-Turbo
back_events.png,1342,9,Z-Image-Turbo
back_treasures.png,1343,9,Z-Image-Turbo
