filename,seed,steps,model
recruitment_captain.png,1050,9,Z-Image-Turbo
recruitment_sailmaster.png,1051,9,Z-Image-Turbo
recruitment_gunner.png,1052,9,Z-Image-Turbo
talisman_canon_counter_boarding.png,1014,9,Z-Image-Turbo
curse_foggy_island.png,1020,9,Z-Image-Turbo
curse_broken_hourglass.png,1022,9,Z-Image-Turbo
raid_canons.png,1027,9,Z-Image-Turbo
raid_officers.png,1053,9,Z-Image-Turbo
raid_sails.png,1054,9,Z-Image-Turbo
map_treasure_01.png,1048,9,Z-Image-Turbo
map_treasure_02.png,1055,9,Z-Image-Turbo
